stop_name,line_code,Line,stop_lat,stop_lon,MED_COMMUT,UNEMPLOYME,PCT_IMMIGR,PCT_POSTSE,OWNERS,RENTERS,CONDOS,MEN_HO_INC,MEN_IN_INC,MARRIED,NOT_MARRIED,DEP_5_7AM,DEP_7_9AM,DEP_9AM,MED_SHELT_OWN,MED_SHELT_RNT,AVG_CHILD,AVG_ROOMS,MED_AGE,POP_DENS,MAIN_OCCUP,MAIN_COUNTRY,MAIN_TRANSP,,stop_order,SHOW_IN_MAP
Lionel-Groulx,o,multi orange-green,45.482879,-73.579611,23.36971221,10.7164218,28.20417839,59.8269081,17.77595272,36.15633984,28.32291999,41660.75087,25688.06818,36.89965698,54.75219495,5.998995804,29.26845472,10.26043482,1141.283725,680.1868602,0.92594037,4.316099699,38.08427927,8379.121731,Sales and service,Other places of birth in Africa,Public transit,,11,TRUE
Lionel-Groulx,v,multi orange-green,45.482879,-73.579611,23.36971221,10.7164218,28.20417839,59.8269081,17.77595272,36.15633984,28.32291999,41660.75087,25688.06818,36.89965698,54.75219495,5.998995804,29.26845472,10.26043482,1141.283725,680.1868602,0.92594037,4.316099699,38.08427927,8379.121731,Sales and service,Other places of birth in Africa,Public transit,,8,FALSE
Longueuil,j,jaune,45.52519,-73.521961,27.81789531,10.90758842,28.49072817,59.29192962,17.53796919,37.58491693,24.54624247,40943.81995,26002.05902,44.00623822,50.27817384,7.799924846,28.217771,11.61385913,896.835173,761.2937085,0.694736831,4.231248301,44.95072329,3685.455118,"Business, finance and administration",France,Vehicle driver,,3,TRUE
Lucien-L&#x27;Allier,o,orange,45.494944,-73.57109,18.75047415,9.483683688,37.07974495,68.15742086,18.7828482,36.60134829,46.47122698,36871.63647,22657.10568,36.76517303,62.28396692,3.256348365,30.7179467,9.611562831,1063.20074,993.184263,0.844424067,3.760598588,32.57502936,7189.978577,Sales and service,China,Walked,,13,TRUE
McGill,v,verte,45.504116,-73.57131,14.96112887,11.81562806,37.42504041,69.88222392,19.43343189,42.25281991,47.53418889,35387.26344,21573.15461,35.44155733,67.69365503,2.92871117,29.62356309,9.945551901,1288.562693,1173.820837,0.609652535,3.492610845,33.37019852,7199.984074,"Education, law and social, community and government services",China,Walked,,12,TRUE
Monk,v,verte,45.451007,-73.59338,28.61556823,8.921622085,25.00295743,44.70532515,16.49618219,32.51106531,8.127354951,41187.73365,24197.12815,42.21636167,45.23856212,10.43476052,25.49451633,9.089607289,885.2000695,651.0359062,0.949779893,4.628565701,41.95402536,9747.308647,Sales and service,China,Vehicle driver,,2,TRUE
Mont-Royal,o,orange,45.52456,-73.581777,23.90644581,7.857626577,24.6000545,68.57291267,18.46078022,38.31706738,24.23412704,44970.33607,30000.17088,36.44956845,54.35839976,5.337856438,38.00971483,12.68922932,1189.310858,767.9706192,0.735123654,4.284343295,34.73113838,13508.09075,Sales and service,France,Public transit,,20,TRUE
Montmorency,o,orange,45.558327,-73.721815,27.55788716,7.938003142,26.13000268,52.88773586,26.40501676,18.17194917,25.3783386,55511.75879,28058.51536,48.24085746,42.86093531,10.06199335,28.13540137,11.20782816,1011.027345,752.3682188,0.988676885,5.306135181,41.01274361,3273.550652,Sales and service,Lebanon,Vehicle driver,,31,TRUE
Namur,o,orange,45.494969,-73.653108,28.84167963,10.49743896,58.77926321,49.59648813,16.81435109,23.62837258,19.4051657,47205.94982,22498.35989,44.1415524,36.42267389,7.995733237,25.00397876,8.88520686,1133.660377,601.9078852,1.32083673,4.453631617,36.05061624,3551.160086,Sales and service,Philippines,Public transit,,4,TRUE
Outremont,b,bleue,45.520102,-73.6151,21.75537077,7.02973982,25.59010028,58.69662206,22.4562869,18.15844175,31.6917859,74583.28552,36934.65592,43.25562849,38.26578944,3.311725827,31.22752594,8.224527512,1273.381995,1043.732225,1.349241712,6.099883286,38.19237459,8783.428166,"Education, law and social, community and government services",France,Vehicle driver,,5,TRUE
